ISO3,Country_WDI,HiTech_Pct,Year_Used,Status,Retrieval_Date
KWT,Kuwait,1.7850,2023,Reported,2026-08-18
LAO,Lao PDR,7.4196,2023,Reported,2026-08-18
LBN,Lebanon,4.3024,2023,Reported,2026-08-18
LBR,Liberia,0.6437,2023,Reported,2026-08-18
LBY,Libya,,,Missing,2026-08-18
LCA,St. Lucia,9.3322,2020,Reported,2026-08-18
LIE,Liechtenstein,,,Missing,2026-08-18
LKA,Sri Lanka,1.4172,2023,Reported,2026-08-18
LSO,Lesotho,0.0743,2023,Reported,2026-08-18
LTU,Lithuania,14.4029,2023,Reported,2026-08-18
LUX,Luxembourg,5.9793,2023,Reported,2026-08-18
LVA,Latvia,18.5544,2023,Reported,2026-08-18
MAC,"Macao SAR, China",0.0000,2023,Reported,2026-08-18
MAF,St. Martin (French part),,,Missing,2026-08-18
MAR,Morocco,5.4307,2023,Reported,2026-08-18
MCO,Monaco,,,Missing,2026-08-18
MDA,Moldova,2.6171,2023,Reported,2026-08-18
MDG,Madagascar,0.4781,2023,Reported,2026-08-18
MDV,Maldives,0.1895,2023,Reported,2026-08-18
MEX,Mexico,17.9939,2023,Reported,2026-08-18
MHL,Marshall Islands,,,Missing,2026-08-18
MKD,North Macedonia,5.2297,2023,Reported,2026-08-18
MLI,Mali,5.3607,2023,Reported,2026-08-18
MLT,Malta,43.2693,2023,Reported,2026-08-18
MMR,Myanmar,2.9463,2023,Reported,2026-08-18
MNE,Montenegro,7.9952,2023,Reported,2026-08-18
MNG,Mongolia,22.5366,2023,Reported,2026-08-18
MNP,Northern Mariana Islands,,,Missing,2026-08-18
MOZ,Mozambique,2.7424,2023,Reported,2026-08-18
MRT,Mauritania,2.3506,2023,Reported,2026-08-18
MUS,Mauritius,1.0145,2023,Reported,2026-08-18
MWI,Malawi,5.3106,2023,Reported,2026-08-18
MYS,Malaysia,59.4155,2023,Reported,2026-08-18
NAM,Namibia,0.0810,2023,Reported,2026-08-18
NCL,New Caledonia,,,Missing,2026-08-18
NER,Niger,8.9668,2023,Reported,2026-08-18
NGA,Nigeria,3.5304,2023,Reported,2026-08-18
NIC,Nicaragua,0.8047,2023,Reported,2026-08-18
NLD,Netherlands,24.5106,2023,Reported,2026-08-18
NOR,Norway,25.6746,2023,Reported,2026-08-18
NPL,Nepal,0.6175,2022,Reported,2026-08-18
NRU,Naoero,,,Missing,2026-08-18
NZL,New Zealand,12.6495,2023,Reported,2026-08-18
OMN,Oman,5.0054,2023,Reported,2026-08-18
PAK,Pakistan,1.9028,2023,Reported,2026-08-18
PAN,Panama,1.0005,2023,Reported,2026-08-18
PER,Peru,5.0157,2023,Reported,2026-08-18
PHL,Philippines,63.9779,2023,Reported,2026-08-18
PLW,Palau,,,Missing,2026-08-18
PNG,Papua New Guinea,10.2481,2023,Reported,2026-08-18
POL,Poland,12.1223,2023,Reported,2026-08-18
PRI,Puerto Rico (US),,,Missing,2026-08-18
PRK,"Korea, Dem. People's Rep.",,,Missing,2026-08-18
PRT,Portugal,6.7108,2023,Reported,2026-08-18
PRY,Paraguay,9.9657,2023,Reported,2026-08-18
PSE,West Bank and Gaza,1.8434,2023,Reported,2026-08-18
PYF,French Polynesia,0.9086,2023,Reported,2026-08-18
QAT,Qatar,2.7800,2023,Reported,2026-08-18
ROU,Romania,12.6747,2023,Reported,2026-08-18
RUS,Russian Federation,9.7298,2021,Reported,2026-08-18
RWA,Rwanda,4.7847,2022,Reported,2026-08-18
SAU,Saudi Arabia,0.5906,2023,Reported,2026-08-18
SDN,Sudan,,,Missing,2026-08-18
SEN,Senegal,1.6047,2023,Reported,2026-08-18
SGP,Singapore,56.1384,2023,Reported,2026-08-18
SLB,Solomon Islands,,,Missing,2026-08-18
SLE,Sierra Leone,,,Missing,2026-08-18
SLV,El Salvador,6.4040,2023,Reported,2026-08-18
SMR,San Marino,,,Missing,2026-08-18
SOM,"Somalia, Fed. Rep.",,,Missing,2026-08-18
SRB,Serbia,,,Missing,2026-08-18
SSD,South Sudan,,,Missing,2026-08-18
STP,Sao Tome and Principe,29.2734,2023,Reported,2026-08-18
SUR,Suriname,3.2127,2023,Reported,2026-08-18
SVK,Slovak Republic,9.7185,2023,Reported,2026-08-18
SVN,Slovenia,8.2035,2023,Reported,2026-08-18
SWE,Sweden,17.6239,2023,Reported,2026-08-18
SWZ,Eswatini,0.2853,2023,Reported,2026-08-18
SXM,Sint Maarten (Dutch part),,,Missing,2026-08-18
SYC,Seychelles,0.0384,2023,Reported,2026-08-18
SYR,Syrian Arab Republic,,,Missing,2026-08-18
TCA,Turks and Caicos Islands,,,Missing,2026-08-18
TCD,Chad,,,Missing,2026-08-18
TGO,Togo,0.5736,2023,Reported,2026-08-18
THA,Thailand,26.0506,2023,Reported,2026-08-18
TJK,Tajikistan,15.2078,2023,Reported,2026-08-18
TKM,Turkmenistan,,,Missing,2026-08-18
TLS,Timor-Leste,1.5261,2023,Reported,2026-08-18
TON,Tonga,28.4603,2023,Reported,2026-08-18
TTO,Trinidad and Tobago,0.2232,2023,Reported,2026-08-18
TUN,Tunisia,7.7011,2023,Reported,2026-08-18
TUR,Turkiye,4.5183,2023,Reported,2026-08-18
TUV,Tuvalu,,,Missing,2026-08-18
TZA,Tanzania,5.0681,2023,Reported,2026-08-18
UGA,Uganda,1.4081,2023,Reported,2026-08-18
UKR,Ukraine,6.6881,2023,Reported,2026-08-18
URY,Uruguay,10.7072,2023,Reported,2026-08-18
USA,United States,21.8460,2023,Reported,2026-08-18
UZB,Uzbekistan,2.8224,2023,Reported,2026-08-18
VCT,St. Vincent and the Grenadines,4.9344,2023,Reported,2026-08-18
VEN,"Venezuela, RB",,,Missing,2026-08-18
VGB,British Virgin Islands,,,Missing,2026-08-18
VIR,Virgin Islands (U.S.),,,Missing,2026-08-18
VNM,Viet Nam,44.2569,2023,Reported,2026-08-18
VUT,Vanuatu,,,Missing,2026-08-18
WSM,Samoa,5.7420,2023,Reported,2026-08-18
XKX,Kosovo,,,Missing,2026-08-18
YEM,"Yemen, Rep.",,,Missing,2026-08-18
ZAF,South Africa,4.9555,2023,Reported,2026-08-18
ZMB,Zambia,1.1636,2023,Reported,2026-08-18
ZWE,Zimbabwe,1.9422,2023,Reported,2026-08-18
