ISO3,Country,M49_Region,M49_Subregion,WB_Region
LSO,Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
LTU,Lithuania,Europe,Northern Europe,Europe & Central Asia
LUX,Luxembourg,Europe,Western Europe,Europe & Central Asia
LVA,Latvia,Europe,Northern Europe,Europe & Central Asia
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,East Asia & Pacific
MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean,Latin America & Caribbean 
MAR,Morocco,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
MCO,Monaco,Europe,Western Europe,Europe & Central Asia
MDA,Republic of Moldova,Europe,Eastern Europe,Europe & Central Asia
MDG,Madagascar,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MDV,Maldives,Asia,Southern Asia,South Asia
MEX,Mexico,Americas,Latin America and the Caribbean,Latin America & Caribbean 
MHL,Marshall Islands,Oceania,Micronesia,East Asia & Pacific
MKD,North Macedonia,Europe,Southern Europe,Europe & Central Asia
MLI,Mali,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MLT,Malta,Europe,Southern Europe,"Middle East, North Africa, Afghanistan & Pakistan"
MMR,Myanmar,Asia,South-eastern Asia,East Asia & Pacific
MNE,Montenegro,Europe,Southern Europe,Europe & Central Asia
MNG,Mongolia,Asia,Eastern Asia,East Asia & Pacific
MNP,Northern Mariana Islands,Oceania,Micronesia,East Asia & Pacific
MOZ,Mozambique,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MRT,Mauritania,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MSR,Montserrat,Americas,Latin America and the Caribbean,
MTQ,Martinique,Americas,Latin America and the Caribbean,
MUS,Mauritius,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MWI,Malawi,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
MYS,Malaysia,Asia,South-eastern Asia,East Asia & Pacific
MYT,Mayotte,Africa,Sub-Saharan Africa,
NAM,Namibia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
NCL,New Caledonia,Oceania,Melanesia,East Asia & Pacific
NER,Niger,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
NFK,Norfolk Island,Oceania,Australia and New Zealand,
NGA,Nigeria,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
NIC,Nicaragua,Americas,Latin America and the Caribbean,Latin America & Caribbean 
NIU,Niue,Oceania,Polynesia,
NLD,Netherlands,Europe,Western Europe,Europe & Central Asia
NOR,Norway,Europe,Northern Europe,Europe & Central Asia
NPL,Nepal,Asia,Southern Asia,South Asia
NRU,Nauru,Oceania,Micronesia,East Asia & Pacific
NZL,New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific
OMN,Oman,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
PAK,Pakistan,Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan"
PAN,Panama,Americas,Latin America and the Caribbean,Latin America & Caribbean 
PCN,Pitcairn,Oceania,Polynesia,
PER,Peru,Americas,Latin America and the Caribbean,Latin America & Caribbean 
PHL,Philippines,Asia,South-eastern Asia,East Asia & Pacific
PLW,Palau,Oceania,Micronesia,East Asia & Pacific
PNG,Papua New Guinea,Oceania,Melanesia,East Asia & Pacific
POL,Poland,Europe,Eastern Europe,Europe & Central Asia
PRI,Puerto Rico,Americas,Latin America and the Caribbean,Latin America & Caribbean 
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,East Asia & Pacific
PRT,Portugal,Europe,Southern Europe,Europe & Central Asia
PRY,Paraguay,Americas,Latin America and the Caribbean,Latin America & Caribbean 
PSE,State of Palestine,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
PYF,French Polynesia,Oceania,Polynesia,East Asia & Pacific
QAT,Qatar,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
REU,Réunion,Africa,Sub-Saharan Africa,
ROU,Romania,Europe,Eastern Europe,Europe & Central Asia
RUS,Russian Federation,Europe,Eastern Europe,Europe & Central Asia
RWA,Rwanda,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SAU,Saudi Arabia,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
SDN,Sudan,Africa,Northern Africa,Sub-Saharan Africa 
SEN,Senegal,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SGP,Singapore,Asia,South-eastern Asia,East Asia & Pacific
SGS,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,
SHN,Saint Helena,Africa,Sub-Saharan Africa,
SJM,Svalbard and Jan Mayen Islands,Europe,Northern Europe,
SLB,Solomon Islands,Oceania,Melanesia,East Asia & Pacific
SLE,Sierra Leone,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SLV,El Salvador,Americas,Latin America and the Caribbean,Latin America & Caribbean 
SMR,San Marino,Europe,Southern Europe,Europe & Central Asia
SOM,Somalia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SPM,Saint Pierre and Miquelon,Americas,Northern America,
SRB,Serbia,Europe,Southern Europe,Europe & Central Asia
SSD,South Sudan,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SUR,Suriname,Americas,Latin America and the Caribbean,Latin America & Caribbean 
SVK,Slovakia,Europe,Eastern Europe,Europe & Central Asia
SVN,Slovenia,Europe,Southern Europe,Europe & Central Asia
SWE,Sweden,Europe,Northern Europe,Europe & Central Asia
SWZ,Eswatini,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,Latin America & Caribbean 
SYC,Seychelles,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
SYR,Syrian Arab Republic,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean,Latin America & Caribbean 
TCD,Chad,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
TGO,Togo,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
THA,Thailand,Asia,South-eastern Asia,East Asia & Pacific
TJK,Tajikistan,Asia,Central Asia,Europe & Central Asia
TKL,Tokelau,Oceania,Polynesia,
TKM,Turkmenistan,Asia,Central Asia,Europe & Central Asia
TLS,Timor-Leste,Asia,South-eastern Asia,East Asia & Pacific
TON,Tonga,Oceania,Polynesia,East Asia & Pacific
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Latin America & Caribbean 
TUN,Tunisia,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan"
TUR,Türkiye,Asia,Western Asia,Europe & Central Asia
TUV,Tuvalu,Oceania,Polynesia,East Asia & Pacific
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
UGA,Uganda,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
UKR,Ukraine,Europe,Eastern Europe,Europe & Central Asia
UMI,United States Minor Outlying Islands,Oceania,Micronesia,
URY,Uruguay,Americas,Latin America and the Caribbean,Latin America & Caribbean 
USA,United States of America,Americas,Northern America,North America
UZB,Uzbekistan,Asia,Central Asia,Europe & Central Asia
VAT,Holy See,Europe,Southern Europe,
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Latin America & Caribbean 
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Latin America & Caribbean 
VGB,British Virgin Islands,Americas,Latin America and the Caribbean,Latin America & Caribbean 
VIR,United States Virgin Islands,Americas,Latin America and the Caribbean,Latin America & Caribbean 
VNM,Viet Nam,Asia,South-eastern Asia,East Asia & Pacific
VUT,Vanuatu,Oceania,Melanesia,East Asia & Pacific
WLF,Wallis and Futuna Islands,Oceania,Polynesia,
WSM,Samoa,Oceania,Polynesia,East Asia & Pacific
XKX,Kosovo,,,Europe & Central Asia
YEM,Yemen,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan"
ZAF,South Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
ZMB,Zambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Sub-Saharan Africa 
